Suburb,Postcode,State,Address,Lat,Lng,Local government area
Niddrie,3042,VIC,"Niddrie,3042,VIC",-37.745,144.886,City of Moonee Valley
Gladstone Park,3043,VIC,"Gladstone Park,3043,VIC",-37.6926696,144.8951801,City of Hume
Gowanbrae,3043,VIC,"Gowanbrae,3043,VIC",-37.7062908,144.8948907,City of Moreland
Tullamarine,3043,VIC,"Tullamarine,3043,VIC",-37.6994841,144.8803113,City of Brimbank;City of Hume;City of Moreland
Pascoe Vale,3044,VIC,"Pascoe Vale,3044,VIC",-37.727,144.942,City of Moreland
Pascoe Vale South,3044,VIC,"Pascoe Vale South,3044,VIC",-37.7457735,144.9384576,City of Moreland
Melbourne Airport,3045,VIC,"Melbourne Airport,3045,VIC",-37.6690123,144.8410273,City of Hume
Glenroy,3046,VIC,"Glenroy,3046,VIC",-37.7062465,144.9161373,City of Moreland
Hadfield,3046,VIC,"Hadfield,3046,VIC",-37.71,144.95,City of Moreland
Oak Park,3046,VIC,"Oak Park,3046,VIC",-37.718,144.919,City of Moreland
Broadmeadows,3047,VIC,"Broadmeadows,3047,VIC",-37.6860869,144.9269889,City of Hume
Dallas,3047,VIC,"Dallas,3047,VIC",-37.668,144.94,City of Hume
Jacana,3047,VIC,"Jacana,3047,VIC",-37.687232,144.9128564,City of Hume
Coolaroo,3048,VIC,"Coolaroo,3048,VIC",-37.6562333,144.9364069,City of Hume
Meadow Heights,3048,VIC,"Meadow Heights,3048,VIC",-37.65,144.922,City of Hume
Attwood,3049,VIC,"Attwood,3049,VIC",-37.666,144.887,City of Hume
Westmeadows,3049,VIC,"Westmeadows,3049,VIC",-37.678,144.893,City of Hume
North Melbourne,3051,VIC,"North Melbourne,3051,VIC",-37.7983816,144.9419122,City of Melbourne;City of Moonee Valley
Parkville,3052,VIC,"Parkville,3052,VIC",-37.7862363,144.9474178,City of Melbourne
Carlton,3053,VIC,"Carlton,3053,VIC",-37.798389,144.9694441,City of Melbourne
Carlton North,3054,VIC,"Carlton North,3054,VIC",-37.788805,144.9719823,City of Melbourne;City of Yarra
Princes Hill,3054,VIC,"Princes Hill,3054,VIC",-37.784,144.966,City of Yarra
Brunswick West,3055,VIC,"Brunswick West,3055,VIC",-37.761,144.9419122,City of Moreland
Brunswick,3056,VIC,"Brunswick,3056,VIC",-37.7666099,144.9584302,City of Moreland
Brunswick East,3057,VIC,"Brunswick East,3057,VIC",-37.769412,144.9804594,City of Moreland
Coburg,3058,VIC,"Coburg,3058,VIC",-37.7438,144.9645,City of Moreland
Coburg North,3058,VIC,"Coburg North,3058,VIC",-37.726,144.96,City of Moreland
Greenvale,3059,VIC,"Greenvale,3059,VIC",-37.6454887,144.8841246,City of Hume
Fawkner,3060,VIC,"Fawkner,3060,VIC",-37.6969273,144.9666905,City of Moreland
Campbellfield,3061,VIC,"Campbellfield,3061,VIC",-37.665113,144.955677,City of Hume
Somerton,3062,VIC,"Somerton,3062,VIC",-37.6332889,144.944665,City of Hume
Oaklands Junction,3063,VIC,"Oaklands Junction,3063,VIC",-37.6117964,144.8401227,City of Hume
Yuroke,3063,VIC,"Yuroke,3063,VIC",-37.6,144.88,City of Hume
Craigieburn,3064,VIC,"Craigieburn,3064,VIC",-37.594,144.934,City of Hume
Kalkallo,3064,VIC,"Kalkallo,3064,VIC",-37.5245635,144.955677,City of Hume
Mickleham,3064,VIC,"Mickleham,3064,VIC",-37.562,144.874,City of Hume
Roxburgh Park,3064,VIC,"Roxburgh Park,3064,VIC",-37.627,144.929,City of Hume
Fitzroy,3065,VIC,"Fitzroy,3065,VIC",-37.7974551,144.9804594,City of Yarra
Collingwood,3066,VIC,"Collingwood,3066,VIC",-37.8009595,144.9873447,City of Yarra
Abbotsford,3067,VIC,"Abbotsford,3067,VIC",-37.8023601,144.9983623,City of Yarra
Clifton Hill,3068,VIC,"Clifton Hill,3068,VIC",-37.7877787,145.0002125,City of Yarra
Fitzroy North,3068,VIC,"Fitzroy North,3068,VIC",-37.7832944,144.9838466,City of Yarra
Northcote,3070,VIC,"Northcote,3070,VIC",-37.7736132,144.9997396,City of Darebin
Thornbury,3071,VIC,"Thornbury,3071,VIC",-37.7600493,145.0080039,City of Darebin
Preston,3072,VIC,"Preston,3072,VIC",-37.7399362,145.0107588,City of Darebin
Reservoir,3073,VIC,"Reservoir,3073,VIC",-37.7118644,145.0107588,City of Darebin
Thomastown,3074,VIC,"Thomastown,3074,VIC",-37.6837819,145.0107588,City of Whittlesea
Lalor,3075,VIC,"Lalor,3075,VIC",-37.6650543,145.0107588,City of Whittlesea
Epping,3076,VIC,"Epping,3076,VIC",-37.6341341,145.016269,City of Whittlesea
Alphington,3078,VIC,"Alphington,3078,VIC",-37.78,145.023,City of Darebin;City of Yarra
Fairfield,3078,VIC,"Fairfield,3078,VIC",-37.7790074,145.0181267,City of Darebin;City of Yarra
Ivanhoe,3079,VIC,"Ivanhoe,3079,VIC",-37.7703,145.0457,City of Banyule
Ivanhoe East,3079,VIC,"Ivanhoe East,3079,VIC",-37.772,145.066,City of Banyule
Bellfield,3081,VIC,"Bellfield,3081,VIC",-37.754,145.045,City of Banyule
Heidelberg Heights,3081,VIC,"Heidelberg Heights,3081,VIC",-37.742,145.053,City of Banyule
Heidelberg West,3081,VIC,"Heidelberg West,3081,VIC",-37.744,145.047,City of Banyule
Mill Park,3082,VIC,"Mill Park,3082,VIC",-37.6649616,145.0658766,City of Whittlesea
Bundoora,3083,VIC,"Bundoora,3083,VIC",-37.6987006,145.0548502,City of Banyule;City of Darebin;City of Whittlesea
Kingsbury,3083,VIC,"Kingsbury,3083,VIC",-37.715,145.034,City of Darebin
Eaglemont,3084,VIC,"Eaglemont,3084,VIC",-37.763,145.066,City of Banyule
Heidelberg,3084,VIC,"Heidelberg,3084,VIC",-37.752,145.07,City of Banyule
Rosanna,3084,VIC,"Rosanna,3084,VIC",-37.737,145.069,City of Banyule
Viewbank,3084,VIC,"Viewbank,3084,VIC",-37.731,145.1,City of Banyule
Macleod,3085,VIC,"Macleod,3085,VIC",-37.714,145.066,City of Banyule;City of Darebin
Yallambie,3085,VIC,"Yallambie,3085,VIC",-37.726,145.104,City of Banyule
Watsonia,3087,VIC,"Watsonia,3087,VIC",-37.708,145.083,City of Banyule
Watsonia North,3087,VIC,"Watsonia North,3087,VIC",-37.7,145.081,City of Banyule
Briar Hill,3088,VIC,"Briar Hill,3088,VIC",-37.708,145.115,City of Banyule
Greensborough,3088,VIC,"Greensborough,3088,VIC",-37.7043698,145.1006438,City of Banyule;Shire of Nillumbik
St Helena,3088,VIC,"St Helena,3088,VIC",-37.686,145.137,City of Banyule
Diamond Creek,3089,VIC,"Diamond Creek,3089,VIC",-37.6666174,145.1541397,Shire of Nillumbik
Plenty,3090,VIC,"Plenty,3090,VIC",-37.670486,145.1099967,Shire of Nillumbik
Yarrambat,3091,VIC,"Yarrambat,3091,VIC",-37.6404295,145.1320653,Shire of Nillumbik
Lower Plenty,3093,VIC,"Lower Plenty,3093,VIC",-37.7393287,145.112755,City of Banyule
Montmorency,3094,VIC,"Montmorency,3094,VIC",-37.7196403,145.1237889,City of Banyule
Eltham,3095,VIC,"Eltham,3095,VIC",-37.715,145.158,City of Banyule;Shire of Nillumbik
Eltham North,3095,VIC,"Eltham North,3095,VIC",-37.698,145.144,City of Banyule;Shire of Nillumbik
Research,3095,VIC,"Research,3095,VIC",-37.707,145.18,Shire of Nillumbik
Wattle Glen,3096,VIC,"Wattle Glen,3096,VIC",-37.6683887,145.1872619,Shire of Nillumbik
Bend of Islands,3097,VIC,"Bend of Islands,3097,VIC",-37.6980733,145.2756505,Shire of Nillumbik
Kangaroo Ground,3097,VIC,"Kangaroo Ground,3097,VIC",-37.686,145.216,Shire of Nillumbik
Watsons Creek,3097,VIC,"Watsons Creek,3097,VIC",-37.67,145.258,Shire of Nillumbik
Cottles Bridge,3099,VIC,"Cottles Bridge,3099,VIC",-37.622,145.219,Shire of Nillumbik
Hurstbridge,3099,VIC,"Hurstbridge,3099,VIC",-37.638889,145.195,Shire of Nillumbik
Nutfield,3099,VIC,"Nutfield,3099,VIC",-37.603,145.181,Shire of Nillumbik
Strathewen,3099,VIC,"Strathewen,3099,VIC",-37.55,145.266667,Shire of Nillumbik
Kew,3101,VIC,"Kew,3101,VIC",-37.803516,145.0328017,City of Boroondara
Kew East,3102,VIC,"Kew East,3102,VIC",-37.7922797,145.0548502,City of Boroondara
Balwyn,3103,VIC,"Balwyn,3103,VIC",-37.808889,145.078889,City of Boroondara
Deepdene,3103,VIC,"Deepdene,3103,VIC",-37.813056,145.067778,City of Boroondara
Balwyn North,3104,VIC,"Balwyn North,3104,VIC",-37.7941151,145.0879338,City of Boroondara
Bulleen,3105,VIC,"Bulleen,3105,VIC",-37.7660476,145.0879338,City of Manningham
Templestowe,3106,VIC,"Templestowe,3106,VIC",-37.7537669,145.1486206,City of Manningham
Templestowe Lower,3107,VIC,"Templestowe Lower,3107,VIC",-37.7641408,145.1099967,City of Manningham
